timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568532918301,507,Domain-1,200,OK,HomePage 1-112,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532917111,1699,Domain,200,OK,HomePage 1-159,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1191,0,3
1568532917111,1192,Domain-0,302,Found,HomePage 1-159,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1191,0,3
1568532918303,507,Domain-1,200,OK,HomePage 1-159,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532917092,1718,Domain,200,OK,HomePage 1-47,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1208,0,2
1568532917092,1208,Domain-0,302,Found,HomePage 1-47,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1208,0,2
1568532918300,510,Domain-1,200,OK,HomePage 1-47,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917090,1721,Domain,200,OK,HomePage 1-129,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1211,0,4
1568532917090,1211,Domain-0,302,Found,HomePage 1-129,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1211,0,4
1568532918301,510,Domain-1,200,OK,HomePage 1-129,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917090,1721,Domain,200,OK,HomePage 1-315,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1212,0,4
1568532917090,1213,Domain-0,302,Found,HomePage 1-315,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1212,0,4
1568532918303,508,Domain-1,200,OK,HomePage 1-315,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,508,0,0
